ID,Name,Country
3,Alfa Romeo,7
4,Aston Martin,4
5,Audi,5
6,BMW,5
7,Chevrolet,3
9,Citroen,6
10,Daihatsu,2
11,Dodge,3
12,Fiat,7
13,Ford,3
15,Honda,2
16,Hyundai,9
17,Jaguar,4
18,Lancia,7
21,Mazda,2
22,Mercedes-Benz,5
25,Mitsubishi,2
28,Nissan,2
30,Pagani,7
32,Peugeot,6
33,Gran Turismo,0
34,Renault,6
35,RUF,5
36,Shelby,3
38,Subaru,2
39,Suzuki,2
43,Toyota,2
44,TVR,4
46,Volkswagen,5
49,Infiniti,3
50,Lexus,2
51,MINI,5
52,Pontiac,3
55,Plymouth,3
57,Autobianchi,7
59,Amuse,2
65,DMC,3
80,Caterham,4
86,Alpine,6
87,RE Amemiya,2
93,Chaparral,3
110,Ferrari,7
112,Lamborghini,7
113,Bugatti,5
114,Renault Sport,6
116,Maserati,7
117,McLaren,4
119,Tesla ,3
121,KTM,15
125,Abarth,7
127,SRT,3
134,Zagato,7
135,Italdesign,7
136,Porsche,5
138,Fittipaldi Motors,7
139,GT Awards (SEMA),0
140,De Tomaso,7
141,Radical,4
143,Super Formula (Dallara),2
144,BAC,4
145,Willys,3
146,Jeep,3
147,Chris Holstrom Concepts,3
148,Eckert's Rod & Custom,3
149,Greddy,2
150,Wicked Fabrication,3
151,Roadster Shop,3
152,Genesis,9
153,AMG,5
154,DS AUTOMOBILES,6
